{'loss': 0.2974, 'grad_norm': 0.6201567649841309, 'learning_rate': 3.4956645682385084e-05, 'epoch': 0.9}
{'loss': 0.2881, 'grad_norm': 0.9646053314208984, 'learning_rate': 3.475868076176901e-05, 'epoch': 0.91}
{'loss': 0.2908, 'grad_norm': 1.0598888397216797, 'learning_rate': 3.456071584115295e-05, 'epoch': 0.93}
{'loss': 0.2947, 'grad_norm': 0.7824527025222778, 'learning_rate': 3.4362750920536886e-05, 'epoch': 0.94}
{'loss': 0.2838, 'grad_norm': 0.8590391874313354, 'learning_rate': 3.4164785999920816e-05, 'epoch': 0.95}
{'loss': 0.2971, 'grad_norm': 0.8968514800071716, 'learning_rate': 3.396682107930475e-05, 'epoch': 0.96}
{'loss': 0.2895, 'grad_norm': 0.6679531931877136, 'learning_rate': 3.376885615868868e-05, 'epoch': 0.97}
{'loss': 0.2733, 'grad_norm': 0.9353431463241577, 'learning_rate': 3.357089123807262e-05, 'epoch': 0.99}
{'loss': 0.2926, 'grad_norm': 0.8408904075622559, 'learning_rate': 3.337292631745655e-05, 'epoch': 1.0}
{'loss': 0.2681, 'grad_norm': 0.7002070546150208, 'learning_rate': 3.317496139684048e-05, 'epoch': 1.01}
{'loss': 0.2494, 'grad_norm': 0.8737808465957642, 'learning_rate': 3.2976996476224415e-05, 'epoch': 1.02}
{'loss': 0.2599, 'grad_norm': 1.0086785554885864, 'learning_rate': 3.2779031555608345e-05, 'epoch': 1.03}
{'loss': 0.2542, 'grad_norm': 0.8349641561508179, 'learning_rate': 3.258106663499228e-05, 'epoch': 1.05}
{'loss': 0.2524, 'grad_norm': 0.6739448308944702, 'learning_rate': 3.238310171437621e-05, 'epoch': 1.06}
{'loss': 0.2586, 'grad_norm': 0.9424794316291809, 'learning_rate': 3.218513679376015e-05, 'epoch': 1.07}
{'loss': 0.2532, 'grad_norm': 0.7582095861434937, 'learning_rate': 3.198717187314408e-05, 'epoch': 1.08}
{'loss': 0.2626, 'grad_norm': 0.9527551531791687, 'learning_rate': 3.1789206952528014e-05, 'epoch': 1.09}
{'loss': 0.2632, 'grad_norm': 0.9834177494049072, 'learning_rate': 3.1591242031911944e-05, 'epoch': 1.1}
{'loss': 0.2517, 'grad_norm': 0.7085814476013184, 'learning_rate': 3.139327711129588e-05, 'epoch': 1.12}
{'loss': 0.2587, 'grad_norm': 0.974100649356842, 'learning_rate': 3.119531219067982e-05, 'epoch': 1.13}
{'loss': 0.259, 'grad_norm': 0.7477909922599792, 'learning_rate': 3.099734727006375e-05, 'epoch': 1.14}
{'loss': 0.2583, 'grad_norm': 0.8448450565338135, 'learning_rate': 3.0799382349447684e-05, 'epoch': 1.15}
{'loss': 0.2577, 'grad_norm': 0.8559122085571289, 'learning_rate': 3.0601417428831613e-05, 'epoch': 1.16}
{'loss': 0.26, 'grad_norm': 1.1346259117126465, 'learning_rate': 3.0403452508215547e-05, 'epoch': 1.18}
{'loss': 0.2551, 'grad_norm': 0.7107133865356445, 'learning_rate': 3.020548758759948e-05, 'epoch': 1.19}
